,x,y,z,t,activity
286,0.39,-0.91,0.1,12175,Standing
287,0.39,-0.93,0.09,12216,Standing
288,0.39,-0.91,0.1,12256,Standing
289,0.37,-0.92,0.1,12297,Standing
290,0.39,-0.91,0.09,12338,Standing
291,0.39,-0.92,0.1,12379,Standing
292,0.4,-0.92,0.1,12420,Standing
293,0.4,-0.91,0.09,12461,Standing
294,0.4,-0.91,0.09,12502,Standing
295,0.41,-0.91,0.09,12542,Standing
296,0.39,-0.91,0.1,12583,Standing
297,0.4,-0.93,0.1,12624,Standing
298,0.39,-0.92,0.1,12665,Standing
299,0.39,-0.92,0.1,12706,Standing
300,0.39,-0.93,0.09,12747,Standing
301,0.39,-0.93,0.09,12788,Standing
302,0.37,-0.92,0.1,12829,Standing
303,0.39,-0.92,0.1,12870,Standing
304,0.37,-0.93,0.09,12911,Standing
305,0.37,-0.92,0.1,12952,Standing
306,0.39,-0.92,0.1,12993,Standing
307,0.38,-0.93,0.1,13034,Standing
308,0.39,-0.91,0.09,13075,Standing
309,0.39,-0.92,0.1,13116,Standing
310,0.37,-0.91,0.09,13157,Standing
311,0.38,-0.92,0.09,13198,Standing
312,0.38,-0.92,0.1,13239,Standing
313,0.39,-0.91,0.1,13280,Standing
314,0.38,-0.91,0.1,13321,Standing
315,0.38,-0.91,0.1,13362,Standing
316,0.4,-0.93,0.09,13403,Standing
317,0.39,-0.93,0.09,13444,Standing
318,0.38,-0.93,0.1,13485,Standing
319,0.38,-0.92,0.09,13526,Standing
320,0.38,-0.93,0.09,13566,Standing
321,0.38,-0.93,0.09,13607,Standing
322,0.38,-0.92,0.09,13648,Standing
323,0.38,-0.93,0.1,13689,Standing
324,0.37,-0.92,0.09,13730,Standing
325,0.37,-0.92,0.11,13771,Standing
326,0.36,-0.93,0.1,13812,Standing
327,0.37,-0.92,0.11,13853,Standing
328,0.37,-0.93,0.1,13894,Standing
329,0.38,-0.93,0.1,13935,Standing
330,0.38,-0.92,0.11,13976,Standing
331,0.37,-0.91,0.1,14017,Standing
332,0.37,-0.91,0.11,14058,Standing
333,0.37,-0.92,0.1,14099,Standing
334,0.38,-0.92,0.1,14140,Standing
335,0.39,-0.93,0.1,14181,Standing
336,0.39,-0.93,0.1,14222,Standing
337,0.38,-0.93,0.1,14263,Standing
338,0.38,-0.92,0.11,14304,Standing
339,0.37,-0.92,0.1,14345,Standing
340,0.38,-0.92,0.11,14386,Standing
341,0.38,-0.92,0.11,14427,Standing
342,0.38,-0.93,0.11,14468,Standing
343,0.38,-0.92,0.1,14509,Standing
344,0.38,-0.93,0.1,14550,Standing
345,0.37,-0.92,0.1,14590,Standing
346,0.36,-0.91,0.1,14631,Standing
347,0.38,-0.93,0.11,14672,Standing
348,0.37,-0.91,0.1,14713,Standing
349,0.37,-0.93,0.1,14753,Standing
350,0.39,-0.91,0.1,14794,Standing
351,0.37,-0.92,0.1,14834,Standing
352,0.4,-0.93,0.11,14875,Standing
353,0.37,-0.92,0.11,14916,Standing
354,0.38,-0.93,0.1,14957,Standing
355,0.38,-0.93,0.11,14998,Standing
356,0.36,-0.91,0.1,15039,Standing
357,0.37,-0.91,0.11,15080,Standing
358,0.38,-0.92,0.1,15121,Standing
